City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,rikitea,-23.12,-134.97,78.15,80,27,13.94,PF,1579375384
1,mataura,-46.19,168.86,59.0,94,81,3.0,NZ,1579375385
2,albany,42.6,-73.97,21.99,72,90,4.7,US,1579375385
3,freeport,40.66,-73.58,30.0,86,90,5.82,US,1579375165
4,saint-pierre,-21.34,55.48,80.6,83,100,3.36,RE,1579375385
5,souillac,-20.52,57.52,80.6,88,40,6.93,MU,1579375385
6,airai,-8.93,125.41,67.35,86,100,5.08,TL,1579375385
7,vaini,-21.2,-175.2,77.0,94,90,19.46,TO,1579375386
8,nampula,-15.12,39.27,77.0,100,75,3.36,MZ,1579375386
9,jamestown,42.1,-79.24,33.8,92,90,19.46,US,1579375386
10,bubaque,11.28,-15.83,77.38,55,1,11.7,GW,1579375386
11,mangaratiba,-22.96,-44.04,80.6,78,75,1.12,BR,1579375386
12,thompson,55.74,-97.86,-5.8,76,75,8.05,CA,1579375387
13,general roca,-39.03,-67.58,96.89,15,0,12.03,AR,1579375387
14,puerto quijarro,-17.78,-57.77,88.88,59,96,1.92,BO,1579375387
15,qaanaaq,77.48,-69.36,-16.33,67,71,6.04,GL,1579375387
16,fairbanks,64.84,-147.72,-9.99,73,0,2.04,US,1579375388
17,vrangel,42.73,133.08,26.89,58,51,7.74,RU,1579375388
18,upernavik,72.79,-56.15,-9.09,61,75,3.47,GL,1579375388
19,komsomolskiy,40.43,71.72,26.6,73,0,6.93,UZ,1579375389
20,trat,12.5,102.5,82.99,66,77,1.07,TH,1579375389
21,ushuaia,-54.8,-68.3,55.4,62,40,26.4,AR,1579375229
22,hobyo,5.35,48.53,77.81,72,38,20.27,SO,1579375390
23,pierre,44.37,-100.35,10.99,60,1,32.21,US,1579375226
24,springfield,37.22,-93.3,42.8,69,40,21.92,US,1579375260
25,isangel,-19.55,169.27,77.0,88,40,14.79,VU,1579375391
26,ribeira grande,38.52,-28.7,64.4,93,75,12.75,PT,1579375391
27,barranca,-10.75,-77.77,69.96,90,74,8.79,PE,1579375391
28,punta arenas,-53.15,-70.92,60.8,48,75,36.91,CL,1579375351
29,katsuura,35.13,140.3,42.8,70,75,11.41,JP,1579375392
30,zhuanghe,39.7,122.99,32.0,82,98,1.99,CN,1579375392
31,dikson,73.51,80.55,-9.74,97,100,7.25,RU,1579375392
32,atuona,-9.8,-139.03,81.41,77,84,21.88,PF,1579375393
33,kavieng,-2.57,150.8,84.15,77,100,22.01,PG,1579375393
34,tasiilaq,65.61,-37.64,23.0,85,100,26.4,GL,1579375393
35,saskylakh,71.92,114.08,-8.12,95,96,6.42,RU,1579375393
36,raga,8.46,25.68,73.78,22,42,5.95,SS,1579375394
37,hermanus,-34.42,19.23,64.0,93,98,4.0,ZA,1579375394
38,sombrio,-29.11,-49.62,78.26,58,59,13.82,BR,1579375394
39,tam ky,15.57,108.48,71.6,88,40,1.12,VN,1579375394
40,fare,-16.7,-151.02,81.72,78,100,15.26,PF,1579375394
41,busselton,-33.65,115.33,61.0,38,0,16.33,AU,1579375394
42,mandera,3.94,41.87,86.4,20,6,8.84,KE,1579375395
43,nemuro,43.32,145.57,27.27,67,97,11.03,JP,1579375395
44,tuktoyaktuk,69.45,-133.04,-5.8,70,5,21.92,CA,1579375395
45,esna,25.29,32.55,60.8,59,0,9.17,EG,1579375395
46,mount isa,-20.73,139.5,86.0,12,47,6.93,AU,1579375396
47,new norfolk,-42.78,147.06,55.0,81,75,1.81,AU,1579375396
48,bathsheba,13.22,-59.52,84.2,58,40,23.04,BB,1579375396
49,waipawa,-41.41,175.52,60.01,100,98,9.17,NZ,1579375383
50,cidreira,-30.18,-50.21,73.6,70,1,17.74,BR,1579375396
51,east london,-33.02,27.91,68.0,82,75,6.93,ZA,1579375396
52,bredasdorp,-34.53,20.04,60.8,87,99,6.93,ZA,1579375397
53,port hardy,50.7,-127.42,39.2,93,90,18.34,CA,1579375397
